nycha_idx,hpd_inx,nycha_address,hpd_address,score,used_fallback
0,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
20,723,483 CARLTON AVENUE BROOKLYN 11238,483 CARLTON AVENUE BROOKLYN 11238,100.0,False
26,1067,218 EAST 115 STREET MANHATTAN 10029,218 EAST 115 STREET MANHATTAN 10029,100.0,False
31,1019,300 DUMONT AVENUE BROOKLYN 11212,300 DUMONT AVENUE BROOKLYN 11212,100.0,False
46,72,116-30 GUY R BREWER BOULEVARD QUEENS 11434,116-30 GUY R BREWER BOULEVARD QUEENS 11434,100.0,False
64,125,2065 3 AVENUE MANHATTAN 10029,2065 3 AVENUE MANHATTAN 10029,100.0,False
74,25,730 GATES AVENUE BROOKLYN 11221,730 GATES AVENUE BROOKLYN 11221,100.0,False
92,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
158,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
161,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
165,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
222,304,2394 1 AVENUE MANHATTAN 10035,2394 1 AVENUE MANHATTAN 10035,100.0,False
259,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
274,3930,35 DWIGHT STREET BROOKLYN 11231,35 DWIGHT STREET BROOKLYN 11231,100.0,False
276,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
295,653,301 EAST 156 STREET BRONX 10451,301 EAST 156 STREET BRONX 10451,100.0,False
309,1785,31 CENTRE MALL BROOKLYN 11231,31 CENTRE MALL BROOKLYN 11231,100.0,False
391,1248,395 LIVONIA AVENUE BROOKLYN 11212,395 LIVONIA AVENUE BROOKLYN 11212,100.0,False
402,1122,350 EAST 124 STREET MANHATTAN 10035,350 EAST 124 STREET MANHATTAN 10035,100.0,False
405,93,23 WEST 90 STREET MANHATTAN 10024,23 WEST 90 STREET MANHATTAN 10024,100.0,False
437,1837,829 HICKS STREET BROOKLYN 11231,829 HICKS STREET BROOKLYN 11231,100.0,False
461,1933,220 THROOP AVENUE BROOKLYN 11206,220 THROOP AVENUE BROOKLYN 11206,100.0,False
475,5,708 GATES AVENUE BROOKLYN 11221,708 GATES AVENUE BROOKLYN 11221,100.0,False
479,710,1815 STORY AVENUE BRONX 10473,1815 STORY AVENUE BRONX 10473,100.0,False
508,1772,495 COLUMBIA STREET BROOKLYN 11231,495 COLUMBIA STREET BROOKLYN 11231,100.0,False
550,110,2201 1 AVENUE MANHATTAN 10029,2201 1 AVENUE MANHATTAN 10029,100.0,False
552,23,2926 WEST 25 STREET BROOKLYN 11224,2926 WEST 25 STREET BROOKLYN 11224,100.0,False
560,661,451 COLUMBIA STREET BROOKLYN 11231,451 COLUMBIA STREET BROOKLYN 11231,100.0,False
615,6,154-02 JEWEL AVENUE QUEENS 11367,154-02 JEWEL AVENUE QUEENS 11367,100.0,False
632,50,865 AMSTERDAM AVENUE MANHATTAN 10025,865 AMSTERDAM AVENUE MANHATTAN 10025,100.0,False
646,1532,200 THROOP AVENUE BROOKLYN 11206,200 THROOP AVENUE BROOKLYN 11206,100.0,False
663,1224,315 SUTTER AVENUE BROOKLYN 11212,315 SUTTER AVENUE BROOKLYN 11212,100.0,False
723,1423,210 EAST 115 STREET MANHATTAN 10029,210 EAST 115 STREET MANHATTAN 10029,100.0,False
747,927,1100 TELLER AVENUE BRONX 10456,1100 TELLER AVENUE BRONX 10456,100.0,False
767,0,2370 1 AVENUE MANHATTAN 10035,2370 1 AVENUE MANHATTAN 10035,100.0,False
781,157,414 SUTTER AVENUE BROOKLYN 11212,414 SUTTER AVENUE BROOKLYN 11212,100.0,False
808,0,5975 SHORE PARKWAY BROOKLYN 11236,5975 SHORE PARKWAY BROOKLYN 11236,100.0,False
810,4007,234 SANDS STREET BROOKLYN 11201,234 SANDS STREET BROOKLYN 11201,100.0,False
835,2704,123 LORRAINE STREET BROOKLYN 11231,123 LORRAINE STREET BROOKLYN 11231,100.0,False
878,13,3-02 27 AVENUE QUEENS 11102,3-02 27 AVENUE QUEENS 11102,100.0,False
901,3445,225 WEST 129 STREET MANHATTAN 10027,225 WEST 129 STREET MANHATTAN 10027,100.0,False
925,2440,177 SANDS STREET BROOKLYN 11201,177 SANDS STREET BROOKLYN 11201,100.0,False
949,218,920 EAST 6 STREET MANHATTAN 10009,920 EAST 6 STREET MANHATTAN 10009,100.0,False
1001,52,1370 5 AVENUE MANHATTAN 10026,1370 5 AVENUE MANHATTAN 10026,100.0,False
1028,117,1248 WESTCHESTER AVENUE BRONX 10459,1248 WESTCHESTER AVENUE BRONX 10459,100.0,False
1039,22,641 COLUMBUS AVENUE MANHATTAN 10025,641 COLUMBUS AVENUE MANHATTAN 10025,100.0,False
1063,636,90 AVENUE D MANHATTAN 10009,90 AVENUE D MANHATTAN 10009,100.0,False
1064,0,10602 GLENWOOD ROAD BROOKLYN 11236,10602 GLENWOOD ROAD BROOKLYN 11236,100.0,False
1111,1114,340 WILLIAMS AVENUE BROOKLYN 11207,340 WILLIAMS AVENUE BROOKLYN 11207,100.0,False
1149,1,2440 ADAM C POWELL BOULEVARD MANHATTAN 10030,2440 ADAM C POWELL BOULEVARD MANHATTAN 10030,100.0,False
1150,833,2201 SURF AVENUE BROOKLYN 11224,2201 SURF AVENUE BROOKLYN 11224,100.0,False
1248,61,1715 BRUCKNER BOULEVARD BRONX 10472,1715 BRUCKNER BOULEVARD BRONX 10472,100.0,False
1278,1,2703 WEST 33 STREET BROOKLYN 11224,2703 WEST 33 STREET BROOKLYN 11224,100.0,False
1313,1038,219 EAST 97 STREET MANHATTAN 10029,219 EAST 97 STREET MANHATTAN 10029,100.0,False
1386,551,466 COLUMBIA STREET BROOKLYN 11231,466 COLUMBIA STREET BROOKLYN 11231,100.0,False
1568,208,2155 MADISON AVENUE MANHATTAN 10037,2155 MADISON AVENUE MANHATTAN 10037,100.0,False
1710,5383,690 WESTCHESTER AVENUE BRONX 10455,690 WESTCHESTER AVENUE BRONX 10455,100.0,False
1727,310,5801 GLENWOOD ROAD BROOKLYN 11234,5801 GLENWOOD ROAD BROOKLYN 11234,100.0,False
1772,13,301 BEACH 54 STREET QUEENS 11692,301 BEACH 54 STREET QUEENS 11692,100.0,False
1781,1346,50 EAST 104 STREET MANHATTAN 10029,50 EAST 104 STREET MANHATTAN 10029,100.0,False
1851,74,74 WEST 103 STREET MANHATTAN 10025,74 WEST 103 STREET MANHATTAN 10025,100.0,False
1883,55,2816 WEST 23 STREET BROOKLYN 11224,2816 WEST 23 STREET BROOKLYN 11224,100.0,False
