nycha_idx,hpd_inx,nycha_address,hpd_address,score,used_fallback
0,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
1,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
2,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
20,723,483 CARLTON AVENUE BROOKLYN 11238,483 CARLTON AVENUE BROOKLYN 11238,100.0,False
21,723,483 CARLTON AVENUE BROOKLYN 11238,483 CARLTON AVENUE BROOKLYN 11238,100.0,False
22,723,483 CARLTON AVENUE BROOKLYN 11238,483 CARLTON AVENUE BROOKLYN 11238,100.0,False
23,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
24,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
25,4674,1 LORRAINE STREET BROOKLYN 11231,1 LORRAINE STREET BROOKLYN 11231,100.0,False
26,1067,218 EAST 115 STREET MANHATTAN 10029,218 EAST 115 STREET MANHATTAN 10029,100.0,False
28,1067,218 EAST 115 STREET MANHATTAN 10029,218 EAST 115 STREET MANHATTAN 10029,100.0,False
29,1067,218 EAST 115 STREET MANHATTAN 10029,218 EAST 115 STREET MANHATTAN 10029,100.0,False
30,1067,218 EAST 115 STREET MANHATTAN 10029,218 EAST 115 STREET MANHATTAN 10029,100.0,False
31,1019,300 DUMONT AVENUE BROOKLYN 11212,300 DUMONT AVENUE BROOKLYN 11212,100.0,False
32,1019,300 DUMONT AVENUE BROOKLYN 11212,300 DUMONT AVENUE BROOKLYN 11212,100.0,False
33,1067,218 EAST 115 STREET MANHATTAN 10029,218 EAST 115 STREET MANHATTAN 10029,100.0,False
37,1019,300 DUMONT AVENUE BROOKLYN 11212,300 DUMONT AVENUE BROOKLYN 11212,100.0,False
39,1067,218 EAST 115 STREET MANHATTAN 10029,218 EAST 115 STREET MANHATTAN 10029,100.0,False
46,72,116-30 GUY R BREWER BOULEVARD QUEENS 11434,116-30 GUY R BREWER BOULEVARD QUEENS 11434,100.0,False
64,125,2065 3 AVENUE MANHATTAN 10029,2065 3 AVENUE MANHATTAN 10029,100.0,False
74,25,730 GATES AVENUE BROOKLYN 11221,730 GATES AVENUE BROOKLYN 11221,100.0,False
92,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
93,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
94,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
95,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
96,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
97,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
98,85,180 SOUTH STREET MANHATTAN 10038,180 SOUTH STREET MANHATTAN 10038,100.0,False
130,125,2065 3 AVENUE MANHATTAN 10029,2065 3 AVENUE MANHATTAN 10029,100.0,False
158,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
159,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
160,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
161,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
163,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
165,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
166,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
167,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
168,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
169,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
170,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
171,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
172,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
173,1709,161 BUSH STREET BROOKLYN 11231,161 BUSH STREET BROOKLYN 11231,100.0,False
174,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
175,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
176,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
177,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
178,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
179,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
180,1286,350 MADISON STREET MANHATTAN 10002,350 MADISON STREET MANHATTAN 10002,100.0,False
210,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
211,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
212,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
213,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
222,304,2394 1 AVENUE MANHATTAN 10035,2394 1 AVENUE MANHATTAN 10035,100.0,False
223,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
224,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
225,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
233,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
234,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
236,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
238,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
239,84,2861 EXTERIOR STREET BRONX 10463,2861 EXTERIOR STREET BRONX 10463,100.0,False
259,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
260,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
261,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
262,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
264,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
266,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
272,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
273,50,401 EAST 102 STREET MANHATTAN 10029,401 EAST 102 STREET MANHATTAN 10029,100.0,False
274,3930,35 DWIGHT STREET BROOKLYN 11231,35 DWIGHT STREET BROOKLYN 11231,100.0,False
275,3930,35 DWIGHT STREET BROOKLYN 11231,35 DWIGHT STREET BROOKLYN 11231,100.0,False
276,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
277,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
278,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
279,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
280,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
281,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
282,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
283,510,307 EAST 116 STREET MANHATTAN 10029,307 EAST 116 STREET MANHATTAN 10029,100.0,False
